Version;1
Sampling cycle;200us
Out count;1
Data count;89593
First index;6681978

;OUT02
Display unit;0,001um
Upper limit;500,000um
Lower limit;-500,000um

Trigger count;OUT02(um);
6681978;45,500;GO
6681979;45,500;GO
6681980;45,500;GO
6681981;45,500;GO
6681982;45,500;GO
6681983;45,500;GO
6681984;45,500;GO
6681985;45,500;GO
6681986;45,500;GO
6681987;45,500;GO
6681988;45,500;GO
6681989;45,500;GO
6681990;45,500;GO
6681991;45,500;GO
6681992;45,500;GO
6681993;45,500;GO
6681994;45,500;GO
6681995;45,500;GO
6681996;45,500;GO
6681997;45,500;GO
6681998;45,500;GO
6681999;45,500;GO
6682000;45,500;GO
6682001;45,500;GO
6682002;45,500;GO
6682003;45,500;GO
6682004;45,500;GO
6682005;45,500;GO
6682006;45,500;GO
6682007;45,500;GO
6682008;45,500;GO
6682009;45,500;GO
6682010;45,500;GO
6682011;45,500;GO
6682012;45,500;GO
6682013;45,500;GO
6682014;45,500;GO
6682015;45,500;GO
6682016;45,500;GO
6682017;45,500;GO
6682018;45,500;GO
6682019;45,500;GO
6682020;45,500;GO
6682021;45,500;GO
6682022;45,500;GO
6682023;45,500;GO
6682024;45,500;GO
6682025;45,500;GO
6682026;45,500;GO
6682027;45,500;GO
6682028;45,500;GO
6682029;45,500;GO
6682030;45,500;GO
6682031;45,500;GO
6682032;45,500;GO
6682033;45,500;GO
6682034;45,500;GO
6682035;45,500;GO
6682036;45,500;GO
6682037;45,500;GO
6682038;45,500;GO
6682039;45,500;GO
6682040;45,500;GO
6682041;45,500;GO
6682042;45,500;GO
6682043;45,500;GO
6682044;45,500;GO
6682045;45,500;GO
6682046;45,500;GO
6682047;45,500;GO
6682048;45,500;GO
6682049;45,500;GO
6682050;45,500;GO
6682051;45,500;GO
6682052;45,500;GO
6682053;45,500;GO
6682054;45,500;GO
6682055;45,750;GO
6682056;45,750;GO
6682057;45,750;GO
6682058;45,750;GO
6682059;45,750;GO
6682060;45,750;GO
6682061;45,750;GO
6682062;45,750;GO
6682063;45,750;GO
6682064;45,750;GO
6682065;45,750;GO
6682066;45,750;GO
6682067;45,750;GO
6682068;45,750;GO
6682069;45,750;GO
6682070;45,750;GO
6682071;45,750;GO
6682072;45,750;GO
6682073;45,750;GO
6682074;45,750;GO
6682075;45,750;GO
6682076;45,750;GO
6682077;45,750;GO
6682078;45,750;GO
6682079;45,750;GO
6682080;45,750;GO
6682081;45,750;GO
6682082;45,750;GO
6682083;45,750;GO
6682084;45,750;GO
6682085;45,750;GO
6682086;45,750;GO
6682087;45,750;GO
6682088;45,750;GO
6682089;45,750;GO
6682090;45,750;GO
6682091;45,750;GO
6682092;45,750;GO
6682093;45,750;GO
6682094;45,750;GO
6682095;45,750;GO
6682096;45,750;GO
6682097;45,750;GO
6682098;45,750;GO
6682099;45,750;GO
6682100;45,750;GO
6682101;45,750;GO
6682102;45,750;GO
6682103;45,750;GO
6682104;45,750;GO
6682105;45,750;GO
6682106;45,750;GO
6682107;45,750;GO
6682108;45,750;GO
6682109;45,750;GO
6682110;45,750;GO
6682111;45,750;GO
6682112;45,750;GO
6682113;45,750;GO
6682114;45,750;GO
6682115;45,750;GO
6682116;45,750;GO
6682117;45,750;GO
6682118;45,750;GO
6682119;45,750;GO
6682120;45,750;GO
6682121;45,750;GO
6682122;45,750;GO
6682123;45,750;GO
6682124;45,750;GO
6682125;45,750;GO
6682126;45,750;GO
6682127;45,750;GO
6682128;45,750;GO
6682129;45,750;GO
6682130;45,750;GO
6682131;45,750;GO
6682132;45,750;GO
6682133;45,750;GO
6682134;45,750;GO
6682135;45,750;GO
6682136;45,750;GO
6682137;45,750;GO
6682138;45,750;GO
6682139;45,750;GO
6682140;45,750;GO
6682141;45,750;GO
6682142;45,750;GO
6682143;45,750;GO
6682144;45,750;GO
6682145;45,750;GO
6682146;45,750;GO
6682147;45,750;GO
6682148;45,750;GO
6682149;45,750;GO
6682150;45,750;GO
6682151;45,750;GO
6682152;45,750;GO
6682153;45,750;GO
6682154;45,750;GO
6682155;45,750;GO
6682156;45,750;GO
6682157;45,750;GO
6682158;45,750;GO
6682159;45,750;GO
6682160;45,750;GO
6682161;45,750;GO
6682162;45,750;GO
6682163;45,750;GO
6682164;45,750;GO
6682165;45,750;GO
6682166;45,750;GO
6682167;45,750;GO
6682168;45,750;GO
6682169;45,750;GO
6682170;45,750;GO
6682171;45,750;GO
6682172;45,750;GO
6682173;45,750;GO
6682174;45,750;GO
6682175;45,750;GO
6682176;45,750;GO
6682177;45,750;GO
6682178;45,750;GO
6682179;45,750;GO
6682180;45,750;GO
6682181;45,750;GO
6682182;45,750;GO
6682183;45,750;GO
6682184;45,750;GO
6682185;45,750;GO
6682186;45,750;GO
6682187;45,750;GO
6682188;45,750;GO
6682189;45,750;GO
6682190;45,750;GO
6682191;45,750;GO
6682192;45,750;GO
6682193;45,750;GO
6682194;45,750;GO
6682195;45,750;GO
6682196;45,750;GO
6682197;45,750;GO
6682198;45,750;GO
6682199;45,750;GO
6682200;45,750;GO
6682201;45,750;GO
6682202;45,750;GO
6682203;45,750;GO
6682204;45,750;GO
6682205;45,750;GO
6682206;45,750;GO
6682207;45,750;GO
6682208;45,750;GO
6682209;45,750;GO
6682210;45,750;GO
6682211;45,750;GO
6682212;45,750;GO
6682213;45,750;GO
6682214;45,750;GO
6682215;45,750;GO
6682216;45,750;GO
6682217;45,750;GO
6682218;45,750;GO
6682219;45,750;GO
6682220;45,750;GO
6682221;45,750;GO
6682222;45,750;GO
6682223;45,750;GO
6682224;45,750;GO
6682225;45,750;GO
6682226;45,750;GO
6682227;45,750;GO
6682228;45,750;GO
6682229;45,750;GO
6682230;45,750;GO
6682231;45,750;GO
6682232;45,750;GO
6682233;45,750;GO
6682234;45,750;GO
6682235;45,750;GO
6682236;45,750;GO
6682237;45,750;GO
6682238;45,750;GO
6682239;45,750;GO
6682240;45,750;GO
6682241;45,750;GO
6682242;45,750;GO
6682243;45,750;GO
6682244;45,750;GO
6682245;45,750;GO
6682246;45,750;GO
6682247;45,750;GO
6682248;45,750;GO
6682249;45,750;GO
6682250;45,750;GO
6682251;45,750;GO
6682252;45,750;GO
6682253;45,750;GO
6682254;45,750;GO
6682255;45,750;GO
6682256;45,750;GO
6682257;45,750;GO
6682258;45,750;GO
6682259;45,750;GO
6682260;45,750;GO
6682261;45,750;GO
6682262;45,750;GO
6682263;45,750;GO
6682264;45,750;GO
6682265;45,750;GO
6682266;45,750;GO
6682267;45,750;GO
6682268;45,750;GO
6682269;45,750;GO
6682270;45,750;GO
6682271;45,750;GO
6682272;46,000;GO
6682273;46,000;GO
6682274;46,000;GO
6682275;46,000;GO
6682276;46,000;GO
6682277;46,000;GO
6682278;46,000;GO
6682279;46,000;GO
6682280;46,000;GO
6682281;46,000;GO
6682282;46,000;GO
6682283;46,000;GO
6682284;46,000;GO
6682285;46,000;GO
6682286;46,000;GO
6682287;46,000;GO
6682288;46,000;GO
6682289;46,000;GO
6682290;46,000;GO
6682291;46,000;GO
6682292;46,000;GO
6682293;46,000;GO
6682294;46,000;GO
6682295;46,000;GO
6682296;46,000;GO
6682297;46,000;GO
6682298;46,000;GO
6682299;46,000;GO
6682300;46,000;GO
6682301;46,000;GO
6682302;46,000;GO
6682303;46,000;GO
6682304;46,000;GO
6682305;46,000;GO
6682306;46,000;GO
6682307;46,000;GO
6682308;46,000;GO
6682309;46,000;GO
6682310;46,000;GO
6682311;46,000;GO
6682312;46,000;GO
6682313;46,000;GO
6682314;46,000;GO
6682315;46,000;GO
6682316;46,000;GO
6682317;46,000;GO
6682318;46,000;GO
6682319;46,000;GO
6682320;46,000;GO
6682321;46,000;GO
6682322;46,000;GO
6682323;46,000;GO
6682324;46,000;GO
6682325;46,000;GO
6682326;46,000;GO
6682327;46,000;GO
6682328;46,000;GO
6682329;46,000;GO
6682330;46,000;GO
6682331;46,000;GO
6682332;46,000;GO
6682333;46,000;GO
6682334;46,000;GO
6682335;46,000;GO
6682336;46,000;GO
6682337;46,000;GO
6682338;46,000;GO
6682339;46,000;GO
6682340;46,000;GO
6682341;46,000;GO
6682342;46,000;GO
6682343;46,000;GO
6682344;46,000;GO
6682345;46,000;GO
6682346;46,000;GO
6682347;46,000;GO
6682348;46,000;GO
6682349;46,000;GO
6682350;46,000;GO
6682351;46,000;GO
6682352;46,000;GO
6682353;46,000;GO
6682354;46,000;GO
6682355;46,000;GO
6682356;46,000;GO
6682357;46,000;GO
6682358;46,000;GO
6682359;46,000;GO
6682360;46,000;GO
6682361;46,000;GO
6682362;46,000;GO
6682363;46,000;GO
6682364;46,000;GO
6682365;46,000;GO
6682366;46,000;GO
6682367;46,000;GO
6682368;46,000;GO
6682369;46,000;GO
6682370;46,000;GO
6682371;46,000;GO
6682372;46,000;GO
6682373;46,000;GO
6682374;46,000;GO
6682375;46,000;GO
6682376;46,000;GO
6682377;46,000;GO
6682378;46,000;GO
6682379;46,000;GO
6682380;46,000;GO
6682381;46,000;GO
6682382;46,000;GO
6682383;46,000;GO
6682384;46,000;GO
6682385;46,000;GO
6682386;46,000;GO
6682387;46,000;GO
6682388;46,000;GO
6682389;46,000;GO
6682390;46,000;GO
6682391;46,000;GO
6682392;46,000;GO
6682393;46,000;GO
6682394;46,000;GO
6682395;46,000;GO
6682396;46,000;GO
6682397;46,000;GO
6682398;46,000;GO
6682399;46,000;GO
6682400;46,000;GO
6682401;46,000;GO
6682402;46,000;GO
6682403;46,000;GO
6682404;46,000;GO
6682405;46,000;GO
6682406;46,000;GO
6682407;46,000;GO
6682408;46,000;GO
6682409;46,000;GO
6682410;46,000;GO
6682411;46,000;GO
6682412;46,000;GO
6682413;46,000;GO
6682414;46,250;GO
6682415;46,250;GO
6682416;46,250;GO
6682417;46,250;GO
6682418;46,250;GO
6682419;46,250;GO
6682420;46,250;GO
6682421;46,250;GO
6682422;46,250;GO
6682423;46,250;GO
6682424;46,250;GO
6682425;46,250;GO
6682426;46,250;GO
6682427;46,250;GO
6682428;46,250;GO
6682429;46,250;GO
6682430;46,250;GO
6682431;46,250;GO
6682432;46,250;GO
6682433;46,250;GO
6682434;46,250;GO
6682435;46,250;GO
6682436;46,250;GO
6682437;46,250;GO
6682438;46,250;GO
6682439;46,250;GO
6682440;46,250;GO
6682441;46,250;GO
6682442;46,250;GO
6682443;46,250;GO
6682444;46,250;GO
6682445;46,250;GO
6682446;46,250;GO
6682447;46,250;GO
6682448;46,250;GO
6682449;46,250;GO
6682450;46,250;GO
6682451;46,250;GO
6682452;46,250;GO
6682453;46,250;GO
6682454;46,250;GO
6682455;46,250;GO
6682456;46,250;GO
6682457;46,250;GO
6682458;46,250;GO
6682459;46,250;GO
6682460;46,250;GO
6682461;46,250;GO
6682462;46,250;GO
6682463;46,250;GO
6682464;46,250;GO
6682465;46,250;GO
6682466;46,250;GO
6682467;46,250;GO
6682468;46,250;GO
6682469;46,250;GO
6682470;46,250;GO
6682471;46,250;GO
6682472;46,250;GO
6682473;46,250;GO
6682474;46,250;GO
6682475;46,250;GO
6682476;46,250;GO
6682477;46,250;GO
6682478;46,250;GO
6682479;46,250;GO
6682480;46,250;GO
6682481;46,250;GO
6682482;46,250;GO
6682483;46,250;GO
6682484;46,250;GO
6682485;46,250;GO
6682486;46,250;GO
6682487;46,250;GO
6682488;46,250;GO
6682489;46,250;GO
6682490;46,250;GO
6682491;46,250;GO
6682492;46,250;GO
6682493;46,250;GO
6682494;46,250;GO
6682495;46,250;GO
6682496;46,250;GO
6682497;46,250;GO
6682498;46,250;GO
6682499;46,250;GO
6682500;46,250;GO
6682501;46,250;GO
6682502;46,250;GO
6682503;46,250;GO
6682504;46,250;GO
6682505;46,250;GO
6682506;46,250;GO
6682507;46,250;GO
6682508;46,250;GO
6682509;46,250;GO
6682510;46,250;GO
6682511;46,250;GO
6682512;46,250;GO
6682513;46,250;GO
6682514;46,250;GO
6682515;46,250;GO
6682516;46,250;GO
