Version;1
Sampling cycle;200us
Out count;1
Data count;89421
First index;995806

;OUT02
Display unit;0,001um
Upper limit;500,000um
Lower limit;-500,000um

Trigger count;OUT02(um);
995806;2,750;GO
995807;2,750;GO
995808;2,750;GO
995809;2,750;GO
995810;2,750;GO
995811;2,750;GO
995812;2,750;GO
995813;2,750;GO
995814;2,750;GO
995815;2,750;GO
995816;2,750;GO
995817;2,750;GO
995818;2,750;GO
995819;2,750;GO
995820;2,750;GO
995821;2,750;GO
995822;2,750;GO
995823;2,750;GO
995824;2,750;GO
995825;2,750;GO
995826;2,750;GO
995827;2,750;GO
995828;2,750;GO
995829;2,750;GO
995830;2,750;GO
995831;2,750;GO
995832;2,750;GO
995833;2,750;GO
995834;2,750;GO
995835;2,750;GO
995836;2,750;GO
995837;2,750;GO
995838;2,750;GO
995839;2,750;GO
995840;2,750;GO
995841;2,750;GO
995842;2,750;GO
995843;2,750;GO
995844;2,750;GO
995845;2,750;GO
995846;2,750;GO
995847;2,750;GO
995848;2,750;GO
995849;2,750;GO
995850;2,750;GO
995851;2,750;GO
995852;2,750;GO
995853;2,750;GO
995854;2,750;GO
995855;2,750;GO
995856;2,750;GO
995857;2,750;GO
995858;2,750;GO
995859;2,750;GO
995860;2,750;GO
995861;2,750;GO
995862;2,750;GO
995863;2,750;GO
995864;2,750;GO
995865;2,750;GO
995866;2,750;GO
995867;2,750;GO
995868;2,750;GO
995869;2,750;GO
995870;2,750;GO
995871;2,750;GO
995872;2,750;GO
995873;2,750;GO
995874;2,750;GO
995875;2,750;GO
995876;2,750;GO
995877;2,750;GO
995878;2,750;GO
995879;2,750;GO
995880;2,750;GO
995881;2,750;GO
995882;2,750;GO
995883;2,750;GO
995884;2,750;GO
995885;2,750;GO
995886;2,750;GO
995887;2,750;GO
995888;2,750;GO
995889;2,750;GO
995890;2,750;GO
995891;2,750;GO
995892;2,750;GO
995893;2,750;GO
995894;2,750;GO
995895;2,750;GO
995896;2,750;GO
995897;2,750;GO
995898;2,750;GO
995899;2,750;GO
995900;2,750;GO
995901;2,750;GO
995902;2,750;GO
995903;2,750;GO
995904;2,750;GO
995905;2,750;GO
995906;2,750;GO
995907;2,750;GO
995908;2,750;GO
995909;2,750;GO
995910;2,750;GO
995911;2,750;GO
995912;2,750;GO
995913;2,750;GO
995914;2,750;GO
995915;2,750;GO
995916;2,750;GO
995917;2,750;GO
995918;2,750;GO
995919;2,750;GO
995920;2,750;GO
995921;2,750;GO
995922;2,750;GO
995923;2,750;GO
995924;2,750;GO
995925;2,750;GO
995926;2,750;GO
995927;2,750;GO
995928;2,750;GO
995929;2,750;GO
995930;2,750;GO
995931;2,750;GO
995932;2,750;GO
995933;2,750;GO
995934;2,750;GO
995935;2,750;GO
995936;2,750;GO
995937;2,750;GO
995938;2,750;GO
995939;2,750;GO
995940;2,750;GO
995941;2,750;GO
995942;2,750;GO
995943;2,750;GO
995944;2,750;GO
995945;2,750;GO
995946;2,750;GO
995947;2,750;GO
995948;2,750;GO
995949;2,750;GO
995950;2,750;GO
995951;2,750;GO
995952;2,750;GO
995953;2,750;GO
995954;2,750;GO
995955;2,750;GO
995956;2,750;GO
995957;2,750;GO
995958;2,750;GO
995959;2,750;GO
995960;2,750;GO
995961;2,750;GO
995962;2,750;GO
995963;2,750;GO
995964;2,750;GO
995965;2,750;GO
995966;2,750;GO
995967;2,750;GO
995968;2,750;GO
995969;2,750;GO
995970;2,750;GO
995971;2,750;GO
995972;2,750;GO
995973;2,750;GO
995974;2,750;GO
995975;2,750;GO
995976;2,750;GO
995977;2,750;GO
995978;2,750;GO
995979;2,750;GO
995980;2,750;GO
995981;2,750;GO
995982;2,750;GO
995983;2,750;GO
995984;2,750;GO
995985;2,750;GO
995986;2,750;GO
995987;2,750;GO
995988;2,750;GO
995989;2,750;GO
995990;2,750;GO
995991;2,750;GO
995992;2,750;GO
995993;2,750;GO
995994;2,750;GO
995995;2,750;GO
995996;2,750;GO
995997;2,750;GO
995998;2,750;GO
995999;2,750;GO
996000;2,750;GO
996001;2,750;GO
996002;2,750;GO
996003;2,750;GO
996004;2,750;GO
996005;2,750;GO
996006;2,750;GO
996007;2,750;GO
996008;2,750;GO
996009;2,750;GO
996010;2,750;GO
996011;2,750;GO
996012;2,750;GO
996013;2,750;GO
996014;2,750;GO
996015;2,750;GO
996016;2,750;GO
996017;2,750;GO
996018;2,750;GO
996019;2,750;GO
996020;2,750;GO
996021;2,750;GO
996022;2,750;GO
996023;2,750;GO
996024;2,750;GO
996025;2,750;GO
996026;2,750;GO
996027;2,750;GO
996028;2,750;GO
996029;2,750;GO
996030;2,750;GO
